fast-vm image name;platform (bios/eufi);architecture (x86_64);github distribution directory;fast-vm image file directory;fast-vm image file name;libvirt xml file name ;hack file name ;extra file name (optional);xz image file size in bytes; zst image file size in bytes;location;file containing description for image; all further values are ignored
;; CentOS 6.X
centos-6.3;bios;x86_64;centos;generated;6g__centos-6.3;centos-6.3-current.xml;6g_centos-6-hacks.sh;;139633916;;cz;;
centos-6.3-uefi;uefi;x86_64;centos;generated;6g__centos-6.3-uefi;centos-6.3-current-uefi.xml;6g_centos-6-hacks-uefi.sh;nvram-centos-6.3-uefi_VARS.fd;135881420;;cz;;
centos-6.4;bios;x86_64;centos;generated;6g__centos-6.4;centos-6.3-current.xml;6g_centos-6-hacks.sh;;147901176;;cz;;
centos-6.4-uefi;uefi;x86_64;centos;generated;6g__centos-6.4-uefi;centos-6.3-current-uefi.xml;6g_centos-6-hacks-uefi.sh;nvram-centos-6.4-uefi_VARS.fd;147615620;;cz;;
centos-6.5;bios;x86_64;centos;generated;6g__centos-6.5;centos-6.3-current.xml;6g_centos-6-hacks.sh;;154986152;;cz;;
centos-6.5-uefi;uefi;x86_64;centos;generated;6g__centos-6.5-uefi;centos-6.3-current-uefi.xml;6g_centos-6-hacks-uefi.sh;nvram-centos-6.5-uefi_VARS.fd;155566800;;cz;;
centos-6.6;bios;x86_64;centos;generated;6g__centos-6.6;centos-6.3-current.xml;6g_centos-6-hacks.sh;;165148128;;cz;;
centos-6.6-uefi;uefi;x86_64;centos;generated;6g__centos-6.6-uefi;centos-6.3-current-uefi.xml;6g_centos-6-hacks-uefi.sh;nvram-centos-6.6-uefi_VARS.fd;167154168;;cz;;
centos-6.7;bios;x86_64;centos;generated;6g__centos-6.7;centos-6.3-current.xml;6g_centos-6-hacks.sh;;184456172;;cz;;
