fast-vm image name;platform (bios/eufi);architecture (x86_64);github distribution directory;fast-vm image file directory;fast-vm image file name;libvirt xml file name ;hack file name ;extra file name (optional);xz image file size in bytes; zst image file size in bytes;location;file containing description for image; all further values are ignored
;; Debian 9.X
debian-9.3;bios;x86_64;debian;generated;6g__debian-9.3;debian-9-current.xml;debian-9.sh;;235225940;;kr;;
debian-9.4;bios;x86_64;debian;generated;6g__debian-9.4;debian-9-current.xml;debian-9.sh;;235725612;;kr;;
debian-9.5;bios;x86_64;debian;generated;6g__debian-9.5;debian-9-current.xml;debian-9.sh;;263343828;;kr;;
debian-9.7;bios;x86_64;debian;generated;6g__debian-9.7;debian-9-current.xml;debian-9.sh;;235882620;;kr;;
debian-9.8;bios;x86_64;debian;generated;6g__debian-9.8;debian-9-current.xml;debian-9.sh;;235582640;;kr;;
debian-9.9;bios;x86_64;debian;generated;6g__debian-9.9;debian-9-current.xml;debian-9.sh;;186476056;;kr;;
debian-9.11;bios;x86_64;debian;generated;6g__debian-9.11;debian-9-current.xml;debian-9.sh;;186759604;;kr;;
debian-9.12;bios;x86_64;debian;generated;6g__debian-9.12;debian-9-current.xml;debian-9.sh;;186792584;198278535;kr;;
debian-9.13;bios;x86_64;debian;generated;6g__debian-9.13;debian-9-current.xml;debian-9.sh;;187145208;198556609;kr;;
;; Debian 10.X
debian-10.0;bios;x86_64;debian;generated;6g__debian-10.0;debian-9-current.xml;debian-10.sh;;208822256;;kr;;
debian-10.1;bios;x86_64;debian;generated;6g__debian-10.1;debian-9-current.xml;debian-10.sh;;210498680;;kr;;
debian-10.2;bios;x86_64;debian;generated;6g__debian-10.2;debian-9-current.xml;debian-10.sh;;215527160;230594010;kr;;
debian-10.3;bios;x86_64;debian;generated;6g__debian-10.3;debian-9-current.xml;debian-10.sh;;209272780;225012967;kr;;
debian-10.4;bios;x86_64;debian;generated;6g__debian-10.4;debian-9-current.xml;debian-10.sh;;209652480;225047108;kr;;
debian-10.5;bios;x86_64;debian;generated;6g__debian-10.5;debian-9-current.xml;debian-10.sh;;210609216;226664916;kr;;
debian-10.6;bios;x86_64;debian;generated;6g__debian-10.6;debian-9-current.xml;debian-10.sh;;211538540;226375279;kr;;
debian-10.7;bios;x86_64;debian;generated;6g__debian-10.7;debian-9-current.xml;debian-10.sh;;214106180;229425741;kr;;
debian-10.8;bios;x86_64;debian;generated;6g__debian-10.8;debian-9-current.xml;debian-10.sh;;212826004;228894282;kr;;
debian-10.9;bios;x86_64;debian;generated;6g__debian-10.9;debian-9-current.xml;debian-10.sh;;213405432;229425251;kr;;
debian-10.10;bios;x86_64;debian;generated;6g__debian-10.10;debian-9-current.xml;debian-10.sh;;214879060;229992298;kr;;
debian-10.11;bios;x86_64;debian;generated;6g__debian-10.11;debian-9-current.xml;debian-10.sh;;211003804;223283665;kr;;
debian-10.12;bios;x86_64;debian;generated;6g__debian-10.12;debian-9-current.xml;debian-10.sh;;211861572;223460093;kr;;
debian-10.13;bios;x86_64;debian;generated;6g__debian-10.13;debian-9-current.xml;debian-10.sh;;211422992;223593052;kr;;
;;Debian 11.X
debian-11.0;bios;x86_64;debian;generated;6g__debian-11.0;debian-9-current.xml;debian-11.sh;;225983732;238460256;kr;;
debian-11.1;bios;x86_64;debian;generated;6g__debian-11.1;debian-9-current.xml;debian-11.sh;;225781004;238747132;kr;;
debian-11.2;bios;x86_64;debian;generated;6g__debian-11.2;debian-9-current.xml;debian-11.sh;;222619080;234825335;kr;;
debian-11.3;bios;x86_64;debian;generated;6g__debian-11.3;debian-9-current.xml;debian-11.sh;;232526788;243190465;kr;;
debian-11.4;bios;x86_64;debian;generated;6g__debian-11.4;debian-9-current.xml;debian-11.sh;;226118044;238548684;kr;;
debian-11.5;bios;x86_64;debian;generated;6g__debian-11.5;debian-9-current.xml;debian-11.sh;;229055416;241382801;kr;;
